Sigla,Nome Completo,Tipo de serviço,Estado Operacional,Dados em Tempo Real (Operacional),Dados abertos,Comentário disponibilidade de dados,API,Comentário API ,Tipo de Interface,Tipo de Acesso,Descrição da Base de Dados,Tipo de Dados Oceanográficos,Exemplos de dados disponíveis,Instituição responsável pela base de dados,Cobertura Dados,Detalhe cobertura ,País,Link,Observações,Protocolos de Interoperabilidade,Contato responsável pelos dados,Tipo de licença de uso
Google Earth Data Catalog,Google Earth Data Catalog,Agregador,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, API, Outros","O catálogo público de dados do Earth Engine inclui uma ampla variedade de conjuntos de dados raster padrão utilizados nas ciências da Terra. É possível importar esses conjuntos de dados para o ambiente de script com um único clique, além de enviar seus próprios dados raster ou vetoriais para uso privado ou compartilhamento em seus scripts.","Física, Geológica, Química, Biológica","Radar, umidade do solo, NDVI, Temperatura, precipitação, vento, evapotranspiração, cobertura do solo, etc.",Google,Global,,USA,https://developers.google.com/earth-engine/datasets/catalog,,,,
GOOS Brasil,Global Ocean Observing System Brasil Node,Agregador,Ativo,Nao,Sim,,Não,,Catálogo,Portal Web,"Nó brasileiro do GOOS; reúne links para diversos datasets globais, sem base própria.","Física, Geológica, Química, Biológica",NA (Catálogo),DHN,Global,,Brasil,http://www.goosbrasil.org/,,,,
GTMA,Global Tropical Moored Array,Provedor,Ativo,Sim,Parcialmente,Necessita registro,Não,,"Repositório, Portal de Dados, Analítico","Portal Web, Visualização iterativa","O Programa Global de Boias Ancoradas em Regiões Tropicais (Global Tropical Moored Buoy Array Program) é um esforço internacional voltado para o fornecimento de dados em tempo real, com o objetivo de apoiar pesquisas e previsões climáticas. Seus principais componentes incluem o TAO/TRITON, no Oceano Pacífico, o PIRATA, no Atlântico, e o RAMA, no Oceano Índico.",Física,"Radiação de onda curta, Radiação de onda longa, Chuva, Vento, Umidade relativa do ar, Temperatura do ar, Pressão ao nível do mar, Temperatura, Salinidade, Densidade, Fluxo de calor, Altura dinâmica, Profundidade da isoterma de 20 °C, Corrente",NOAA,Global,,USA,https://www.pmel.noaa.gov/gtmba/,,,,
Harvard DATAVERSE,Harvard Dataverse,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, API, Outros","O Harvard Dataverse Repository é o repositório permanente de compartilhamento de dados da Universidade de Harvard, gerido institucionalmente e aberto a pesquisadores de todas as áreas do conhecimento, tanto dentro quanto fora da comunidade de Harvard. Nele, é possível compartilhar, arquivar, citar, acessar e explorar dados de pesquisa.","Física, Geológica, Química, Biológica",Multi-temáticos,Harvard,Global,,USA,https://dataverse.harvard.edu/,,,,
IBGE Geociencias,IBGE Geociencias,Agregador,Ativo,Nao,NA,Catalogo,Não,,Catálogo,Outros,Varias bases de dados do IBGE com links,"Física, Geológica, Química, Biológica",Multi-temáticos,IBGE,Nacional,,Brasil,https://www.ibge.gov.br/geociencias/todos-os-produtos-geociencias.html,,,,
ICES Marine Data,ICES Marine Data,Agregador,Ativo,Nao,Parcialmente,,Não,,"Repositório, Portal de Dados","Portal Web, WFS, WMS, Outros",Dados oceanográficos e marinhos coletados e padronizados pelo ICES (International Council for the Exploration of the Sea).,"Física, Biológica","Meteo-Oceanográfico, Biodiversidade, Abundância da ictiofauna, distribuição de ictiofauna, abundancia de ictioplâncton, distribuicao de ictioplâncton, composição de ictiofauna, composicao de ictioplâncton",ICES,Global,,União Européia,http://ices.dk/data/Pages/default.aspx,,,,
ICOADS,International Comprehensive Ocean-Atmospheric Data Set,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API","Conjunto internacional de dados de observações oceano-atmosféricas, com séries históricas extensas.",Física,"Temperatura, pressão, vento, umidade",NOAA,Global,,USA,https://icoads.noaa.gov,,,,
IDEM,Infraestrutura de Dados Espaciais Marinhos,Agregador,Ativo,Nao,NA,Catalogo,Não,,Catálogo,"Portal Web, Visualização iterativa","A Infraestrutura de Dados Espaciais Marinhos da Diretoria de Hidrografia e Navegação – IDEM-DHN é um conjunto integrado de tecnologias; políticas; mecanismos e procedimentos de coordenação e monitoramento; padrões e acordos, necessário para facilitar e ordenar a geração, o armazenamento, o acesso, o compartilhamento, a disseminação e o uso dos dados geoespaciais de origem federal, estadual, distrital e municipal.","Física, Geológica","Multi-temáticos (LEPLAC, PNBOIA, Modelos, SAR, Batimétricos, Geológicos, Hidrográficos). ",DHN,Nacional,,Brasil,https://idem.dhn.mar.mil.br/,,,,
IGMETS,International Group for Marine Ecological Time Series (,Agregador,Ativo,Nao,Parcialmente,Dados podem necessitar de registros e aceitacao de termos (diferentes licensas de uso para diferentes grupos),Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","Rede internacional de séries temporais ecológicas marinhas, com dados de longo prazo sobre ecossistemas marinhos.","Física, Biológica","Temperatura, Salinidade, oxigênio, nutrientes, clorofila, zooplâncton",IGMETS,Global,,Internacional,https://igmets.net,,,,
INDE,Infraestrutura Nacional de Dados Espaciais,Agregador,Ativo,Nao,Sim,,Parcialmente,Acesso a APIs tipo OCG,"Repositório, Portal de Dados","Portal Web, WFS, WMS, Outros, OGC","Catalogar, integrar e harmonizar dados geoespaciais de instituições governamentais para fácil acesso e exploração.","Física, Biológica",Meteo-Oceanográfico,"IBGE, MPOG CONGEO",Nacional,,Brasil,https://inde.gov.br/,,,,
INMET,Base de Dados do Instituto Nacional de Metereologia,Agregador e Provedor,Ativo,Quasi-operacional,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Outros",Reúne séries históricas e dados em tempo real de observações meteorológicas do Brasil; usado para estudos climáticos e previsão do tempo.,Física,"Temperatura, precipitação, umidade, pressão, vento, radiação solar, ponto de orvalho",MAP,Nacional,,Brasil,https://bdmep.inmet.gov.br/,,,,
IOC Sea Level (GLOSS),Intergovernmental Oceanographic Commission (IOC) (2025): Sea level station monitoring facility,Agregador,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API",Fornece informações sobre o status operacional de redes globais e regionais de estações de nível do mar em tempo real.,Física,Nível do Mar,"IOC UNESCO, WMO",Global,,Internacional,https://www.ioc-sealevelmonitoring.org/index.php,,,,
IODE,UNESCO International Oceanographic Data and Information Exchange (IODE),Agregador,Ativo,Nao,Parcialmente,Alguns conjuntos de dados individuais podem ter restricoes,Parcialmente,Repositorios individuais devem ser acessiveis,"Repositório, Portal de Dados, Catálogo",Portal Web,Programa internacional da UNESCO para troca e gestão de dados e informações oceanográficas.,Física,"Temperatura, Salinidade, Correntes",UNESCO,Global,,Internacional,,,,,
ISA,International Seabed Authority DeepData Database,Agregador,Ativo,Nao,Parcialmente,,Não,,"Repositório, Portal de Dados",Portal Web,Banco de dados da Autoridade Internacional dos Fundos Marinhos com informações sobre exploração do leito oceânico e regulamentação.,"Física, Geológica","Perfis geológicos, minérios, dados de exploração",ISA,Global,,Internacional,https://www.isa.org.jm/deepdata,,,,
J-DOSS,Japan Oceanographic Data Center Online Service System,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados, Catálogo",Portal Web,Arquiva dados oceanográficos obtidos por institutos no Japão e internacionalmente; permite pesquisa e download via internet.,Física,Meteo-Oceanográfico,JDOC,Global,,Japao,https://www.jodc.go.jp/jodcweb/JDOSS/index.html,,,,
Land+Ocean Data,Land+Ocean Data,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,Conjunto de dados globais de Temperatura terrestre e oceânica compilado pelo Berkeley Earth.,"Física, Geológica",Temperatura terrestre e oceânica histórica,Berkeley Earth,Global,,USA,http://berkeleyearth.org/archive/land-and-ocean-data/,,,,
Mangrove Watch,Mangrove Watch,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados, Ferramenta, Modelos, Analítico",Portal Web,"O Global Mangrove Watch (GMW) é uma plataforma online e um projeto colaborativo internacional que fornece dados e ferramentas para monitorar o estado dos manguezais em todo o mundo. Ele utiliza imagens de satélite de sensoriamento remoto para mapear a extensão e as mudanças nos manguezais e disponibiliza essa informação publicamente para auxiliar em projetos de conservação e restauração, adaptação às mudanças climáticas e formulação de políticas. O GMW fornece dados sobre a perda e o ganho de manguezais, além de estimativas de biomassa, altura do dossel e estoque de carbono. ",Biológica,"Extensão do Habitat de Mangue, Variação Líquida do Mangue, Alteração do Habitat de Mangue, Alertas de Mangue, Localização de Espécies por País, Distribuição de Espécies de Mangue, Espécies de Mangue por Status na Lista Vermelha",UNEP,Global,,Internacional,https://www.globalmangrovewatch.org/,,,,
MapBiomas,MapBiomas,Agregador,Ativo,Nao,Sim,,Sim,,"Portal de Dados, Catálogo, Analítico, Ferramenta","Portal Web, Visualização iterativa","O MapBiomas é uma rede global e multi-institucional, formada por universidades, ONGs e empresas de tecnologia, que monitora as transformações na cobertura e no uso da terra nos territórios e seus impactos. Em 2025, a rede completou dez anos, fornecendo a mais atualizada e detalhada base de dados espaciais de uso da terra em um país disponível no mundo. Nascido no Brasil, o MapBiomas está atualmente presente em 14 países – toda a América do Sul e Indonésia.",Biológica,"Cobertura do solo, uso da terra, biomas, vegetação",MapBiomas,Nacional,,Brasil,https://brasil.mapbiomas.org/o-projeto/,,,,
Marem,Mapeamento Ambiental para Resposta à Emergência no Mar,Agregador,Ativo,Nao,Sim,,Não,,"Portal de Dados, Catálogo",Portal Web,Banco de dados georreferenciado da costa brasileira para resposta à emergência no mar (ex: derramamento de óleo) e mapeamento ambiental costeiro. ,"Biológica, Geológica","Extensão do habitat de mangue, variação de habitat, alertas de mangue, localização e status de espécies, distribuição costeira de fauna vulnerável. ",IBAMA,Nacional,,Brasil,http://www.marem-br.com.br/,,,,
Marine Geoscience Data System,Marine Geoscience Data System,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"Banco de dados para arquivamento e distribuição de dados de geociências marinhas, incluindo batimetria, sismologia e magnetismo.",Geológica,"Batimetria, sísmica, geofísica marinha",MGDS,Global,,Internacional,https://www.marine-geo.org/index.php,,,,
MICO,Migratory Connectivity in the Ocean,Agregador,Ativo,Nao,Parcialmente,,Não,,"Repositório, Portal de Dados",Portal Web,"Banco de dados sobre conectividade migratória de espécies oceânicas, integrando dados de rastreamento e observações.",Biológica,Movimentos de espécies migratórias marinhas,MICO,Global,,Internacional,https://mico.eco/system,,,,
MitoFish,MitoFish,Agregador,Ativo,Nao,Parcialmente,,Não,,"Repositório, Portal de Dados",Portal Web,"Base de dados de mitocôndrias de peixes para fins de pesquisa em genética, biodiversidade e taxonomia.",Biológica,Sequências de DNA de peixes,AORI,Global,,Japao,http://mitofish.aori.u-tokyo.ac.jp,,,,
MOVAR,onitoramento da Variabilidade Regional do Transporte de Calor na Camada Superficial do Oceano Atlântico Sul entre o Rio de Janeiro e a Ilha de Trindade,Agregador e Provedor,Ativo,Nao,Sim,,Não,"Apenas download manual disponível, após definições de equipamento e período de tempo, que levam a outra interface, inviabilizando a integração de forma automatizada","Repositório, Portal de Dados",Portal Web,"Transecto XBT AX97 apoia o projeto MOVAR, estudando flutuações do transporte baroclínico e sua relação com a região frontal Brasil–Malvinas.",Física,"Temperatura, Salinidade, Densidade","FURG, UFBa, GOOS, CHM, SeCIRM, CNPq e NOAA.",Nacional,,Internacional,https://www.aoml.noaa.gov/phod/hdenxbt/ax_home.php?ax=97,,,,
MPAtlas,Marine Protection Atlas,Agregador,Ativo,Nao,NA,,Não,,Catálogo,"Portal Web, Visualização iterativa","Atlas interativo de zonas de proteção marinha, oferecendo informações espaciais sobre áreas protegidas.",Biológica,Zonas de proteção marinha,MCI,Global,,USA,https://mpatlas.org/zones/,,,,
NASA SeaBASS,SeaWiFS Bio-optical Archive and Storage System,Agregador,Ativo,Nao,Sim,Alguns conjuntos de dados individuais podem ter restricoes,Não,,"Repositório, Portal de Dados",Portal Web,"Repositório público de dados in situ mantido pelo OBPG da NASA, com dados oceanográficos e atmosféricos bio-ópticos.","Física, Biológica",Meteo-Oceanográfico,NASA,Global,,USA,https://seabass.gsfc.nasa.gov/,,,,
NCBC,NOAA National Data Buoy Center,Agregador e Provedor,Ativo,Quasi-operacional,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, Outros","O NDBC opera e mantém uma rede global de boias e plataformas fixas que coletam dados meteorológicos e oceanográficos em tempo real. Esses dados são usados para previsão do tempo, monitoramento de eventos extremos e pesquisas climáticas e oceanográficas.",Física,"Temperatura, Temperatura do ar, pressão atmosférica, vento, ondas, umidade, radiação solar",NOAA,Global,,USA,https://www.ndbc.noaa.gov,,,,
NCBI,National Center for Biotechnology Information,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, Outros","Centro nacional de dados de biotecnologia do NIH que fornece acesso a bases de dados genómicos, biomédicos e de sequenciamento.",Biológica,"Sequências de DNA e RNA, bibliografia, genomas",NIH,Global,,USA,https://www.ncbi.nlm.nih.gov/,,,,
NCEI OneStop,National Centers for Environmental Information - NOAA OneStop,Agregador,Ativo,Quasi-operacional,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, Outros","Dados meteo‑oceanográficos, climáticos, geofísicos e ambientais ","Física, Geológica, Química, Biológica","Meteo-Oceanográfico, climáticos, geofísicos e ambientais",NOAA,Global,,USA,https://data.noaa.gov/onestop/,,,,
Netuno,Banco de Dados Ambientais NETUNO,Agregador,Ativo,Nao,Sim,Alguns conjuntos de dados individuais podem ter restricoes,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, Outros","Sistema mantido pela Lab de Informática da Biodiversidade e Geomática (LibGeo) da Universidade do Vale do Itajaí (UNIVALI), focado em dados ambientais para licenciamento e monitoramento costeiro e marinho. ","Física, Biológica","Avistagens de fauna marinha, detecções acústicas, ocorrência de aves a bordo, ocorrências em praias, dados de margens equatoriais e bacias offshore ",UNIVALI,Nacional,,Brasil,http://libgeo.acad.univali.br/bandar/#page-top,,,,
NOAA ERDDAP,NOAA's Environmental Research Division’s Data Access Program,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, ERDDAP","Servidor de dados que oferece acesso padronizado a subconjuntos de datasets científicos e permite gerar gráficos e mapas; inclui dados de satélites, boias e outros instrumentos.","Física, Geológica, Química, Biológica",Meteo-Oceanográfico,NOAA,Global,,USA,https://www.ncei.noaa.gov/erddap/index.html,,,,
O mar está pra peixe ,O mar está pra peixe,Agregador,Extinto,Nao,Sim,,Não,,"Catálogo, Analítico, Ferramenta","Portal Web, Visualização iterativa",Compilação de dados do estado do Rio de Janeiro. Não atualizado. ,"Física, Biológica",Desembarque de pesca,UFRJ,Nacional,Rio de Janeiro,Brasil,https://bit.ly/O_mar_esta_para_peixes,Referência: https://revistas.ufrj.br/index.php/aigeo/article/view/53432/pdf,,,
OBIS,Ocean Biogeographic Information System,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, API, WFS, WMS, OGC, Outros",Sistema global que integra registros de ocorrência de espécies marinhas de diversas fontes e instituições.,Biológica,"Ocorrência de espécies, biodiversidade marinha","IOC UNESCO, WMO",Global,,Internacional,https://obis.org/data/access/,,,,
OCA,Observatório da Costa Amazônica,Agregador e Provedor,Ativo,Sim,Parcialmente,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, Outros","O OCA se dedica para a geração contínua de dados ambientais e sociais, além de promover o compartilhamento dessas informações para integrar os diversos setores da sociedad",Física,Meteo-Oceanográfico,UFP,Nacional,,Brasil,https://oca.eco.br/pt_br/banco-de-dados/,,,,
Ocean Expert,Directory of Marine and Freshwater Professionals,Agregador,Ativo,Nao,Sim,,Não,,Catálogo,"Portal Web, Outros, Visualização iterativa",Diretorio de profissionais das ciencias marinhas e de aguas doces,Social,Dados de profissionais da oceanografia,IODE,Global,,Internacional,OceanExpert - A Directory of Marine and Freshwater Professionals,,,,
Ocean of Things,Ocean of Things – Defense Advanced Research Projects Agency,Agregador,Em desenvolvimento,Nao,Parcialmente,,Não,,"Catálogo, Repositório, Portal de Dados","Portal Web, ERDDAP, Outros",Rede de sensores flutuantes coletando dados oceânicos e ambientais de forma autônoma.,Física,"Temperatura, ondas, Correntes, posição GPS",DARPA,Global,,USA,https://oceanofthings.darpa.mil/#Data,,,,
OceanSITES,Ocean Sustained Interdisciplinary Timeseries Environment Observation System,Agregador e Provedor,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados, Modelos","Portal Web, OPeNDAP, Outros, Visualização iterativa","Rede global de observatórios fixos que monitoram propriedades físicas, químicas e biogeoquímicas do oceano.","Física, Geológica, Química, Biológica","Temperatura, Salinidade, CO₂, nutrientes, Correntes, fluxo de calor","GOOS, CLIVAR, OOPC",Global,,Internacional,http://www.oceansites.org/data/index.html,,,,
ODIS,Ocean Data and Information System,Agregador,Ativo,Nao,Sim,,Sim,,Catálogo,Portal Web,"O Ocean Data and Information System (ODIS) é um ecossistema digital no qual uma comunidade global de organizações, grandes e pequenas, compartilha e troca seus (meta)dados para melhor compreender e gerenciar os oceanos.","Física, Geológica, Química, Biológica",Multi-temáticos,IODE,Global,,Internacional,https://oceaninfohub.org/,,,,
ODIS Catalogue,ODIS Catalogue of Sources,Agregador,Ativo,Nao,Sim,,Sim,,Catálogo,Portal Web,"O “Catálogo de Fontes” do ODIS tem como objetivo ser um catálogo online pesquisável e navegável de fontes e sistemas web relacionados ao oceano, incluindo dados, informações, produtos e serviços. Ele também fornecerá informações sobre produtos e visualizará o panorama (entidades e suas conexões) das fontes de dados e informações oceânicas.","Física, Geológica, Química, Biológica",Metadados e fontes de dados,IODE,Global,,Internacional,IOC Ocean Data and Information System Catalogue,,,,
ODP,Ocean Data Plataform,Agregador,Ativo,Parciamente,Parcialmente,Alguns conjuntos de dados individuais podem ter restricoes,Sim,Possui API documentada,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, Outros","Plataforma digital que integra, harmoniza e disponibiliza dados oceânicos de diferentes origens, permitindo análise e compartilhamento via hub de dados.","Física, Geológica, Química, Biológica","Meteo-oceanográficas, variáveis ambientais, socioeconômicas e de uso oceânico",HubOcean,Global,,Noruega,https://app.hubocean.earth/,,,,
OOI,Ocean Observatories Initiative,Agregador e Provedor,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Outros","Rede de observatórios instrumentados que fornecem dados contínuos e em tempo real sobre processos físicos, químicos, geológicos e biológicos nos oceanos.","Física, Geológica, Química","Temperatura, Salinidade, pH, CO₂, Correntes, oxigênio, nutrientes, dados geofísicos","NSF, WHOI, OSU, UW",Global,,USA,OOI Data Explorer,,,,
Pamgia,Plataforma de Análise e Monitoramento Geoespacial da Informação Ambiental,Agregador e Provedor,Ativo,Nao,Sim,Alguns conjuntos de dados individuais podem ter restricoes,Não,,"Repositório, Portal de Dados","Portal Web, Outros, Visualização iterativa","Plataforma integradora do IBAMA que centraliza e disponibiliza dados geoespaciais e ambientais para planejamento, prevenção e fiscalização ambiental. ","Física, Biológica","Camadas geoespaciais de uso da terra, polígono de áreas embargadas, licenciamento ambiental, unidades municipais. ",IBAMA,Nacional,,Brasil,https://pamgia.ibama.gov.br,,,,
PANGAEA ,PANGAEA – Data Publisher for Earth & Environmental Science,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Catálogo, Repositório, Portal de Dados",Portal Web,"O PANGAEA é um sistema de informação de acesso aberto que funciona como uma biblioteca para arquivar, publicar e distribuir dados georreferenciados de pesquisas do sistema terrestre. O PANGAEA garante a disponibilidade de longo prazo (mais de 10 anos) de seu conteúdo e está aberto a qualquer projeto, instituição ou cientista para uso, arquivamento e publicação de dados.","Física, Geológica, Química, Biológica",Multi-temáticos,"AWI, MARUM",Global,,Alemanha,https://www.pangaea.de/?t=Oceans,,,,
PesqBrasil,PesqBrasil Pescador e Pescadora Profissional,Agregador,Indefinido,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"Contém dados de pescadores registrados no PesqBrasil Pescador e Pescadora Profissional,","Social, Biológica","Nome do pescador, tipo data de nascimento, nível escolaridade, tipo alfabetização, sexo, categoria, forma de atuação, UF e município.",MPA,Nacional,,Brasil,https://dados.gov.br/dados/conjuntos-dados/base-de-dados-dos-registros-de-pescadores-e-pescadoras-profissionais,,,,
Pirata,Prediction and Research Moored Array in the Tropical Atlantic,Provedor,Ativo,Sim,Sim,,Não,"Apenas download manual disponível, após seleção de equipamento e parâmetros. Não possui API e meios estruturados de se realizar a integração de forma automatizada","Repositório, Portal de Dados",Portal Web,Rede de bóias amarradas no Atlântico Tropical para estudo da interação oceano‑atmosfera e variabilidade climática.,Física,"Temperatura, pressão, vento, Correntes, Ondas","NOAA, INPE, Ifremer",AtlanticoSul,,Internacional,https://www.pmel.noaa.gov/tao/drupal/disdel/,,,,
PMAP,Projeto de Monitoramento da Atividade Pesqueira,Provedor,Ativo,Nao,Parcialmente,Alguns conjuntos de dados individuais podem ter restricoes,Não,,"Catálogo, Portal de Dados",Portal Web,"Projeto que monitora atividade pesqueira (Brasil) com dados sobre esforços, embarcações, captura e socioeconomia.",Biológica,"Dados de embarcações, esforço pesqueiro, variáveis socioeconômicas",IBAMA,Nacional,"Rio de Janeiro, Sao Paulo, Santa Catarina, Parana",Brasil,https://comunicabaciadesantos.petrobras.com.br/projeto-de-monitoramento-da-atividade-pesqueira-pmap-,,,,
PNBOIA,Programa Nacional de Boias,Provedor,Indefinido,Nao,Não,Dados nao estao disponiveis no momento,Não,"Sistema não apresenta nenhuma informação, mesmo em consultas manuais, inviabilizando as tentativas de acesso automatizado aos dados. Não aparenta possuir API","Catálogo, Portal de Dados","Portal Web, Visualização iterativa","O PNBOIA monitora fenômenos meteorológicos e oceanográficos no Atlântico Sul e Tropical por meio de boias de deriva e boias de fundeio. As boias coletam dados como Temperatura da superfície do mar, Correntes, pressão atmosférica, vento, radiação solar, perfil vertical de Temperatura, Salinidade e características das ondas, apoiando previsão do tempo, estudos climáticos e monitoramento de fenômenos atmosféricos e oceanográficos.",Física,"Temperatura, Correntes, Pressão atmosférica, Vento, Temperatura, Umidade relativa do ar, Radiação solar, Salinidade, Ondas",CHM,Nacional,,Brasil,https://www.marinha.mil.br/chm/dados-do-goos-brasil/pnboia-mapa,,,,
Projeto Azul,Projeto Azul – Sistema de Observação e Previsão Oceânica na Bacia de Santos,Agregador e Provedor,Ativo,Nao,Não,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","O Projeto Azul é uma parceria entre a Shell Brasil, o LAMCE/COPPE-UFRJ e a Prooceano para desenvolver um sistema de observação e previsão oceânica na Bacia de Santos. O projeto utiliza gliders e veículos autônomos de superfície para coletar dados sobre Correntes, ondas, Temperatura e Salinidade, que são assimilados em modelos numéricos de alta resolução para apoiar o monitoramento e a segurança das operações offshore.",Física,"Correntes, Ondas, Temperatura, Salinidade",LAMCE,Nacional,Bacia de Santos,Brasil,http://www.projetoazul.eco.br/dados/efetuar-login?redirect=http%3A%2F%2Fwww.projetoazul.eco.br%2Fdados,,,,
Projeto Costa Norte,Projeto Costa Norte,Agregador e Provedor,Extinto,Nao,Sim,,Não,,Portal de Dados,"Portal Web, Visualização iterativa","O Projeto Costa Norte se destaca ainda por integrar grupos de pesquisa com diferentes expertises em uma cooperação entre a ENAUTA, o Núcleo de Estudos em Geoquímica e Ecologia Marinha e Costeira (NEGEMC) da UERJ, o Laboratório de Métodos Computacionais em Engenharia (LAMCE) da COPPE/UFRJ, o Laboratório de Pesquisa em Monitoramento Ambiental Marinho (LAPMAR) da UFPA e a PROOCEANO, uma empresa brasileira de tecnologia oceanográfica, para o desenvolvimento de um método para determinação da vulnerabilidade de manguezais à contaminação por óleo e para produzir conhecimento sobre características locais da Costa Norte brasileira","Física, Química, Biológica","Correntes, batimetria, uso da terra, coorte de mangue, perfis, sistemas de dispersão de óleo",LAMCE,Nacional,Costa Norte Brasileira,Brasil,http://projetocostanorte.eco.br/,,,,
ProPesq,Programa de Monitoramento Pesqueiro do Instituto de Pesca de Sao Paulo,Provedor,Ativo,Nao,Não,,Não,,"Repositório, Portal de Dados",Portal Web,"Os dados disponibilizados por esta ferramenta de relatórios são de propriedade do Instituto de Pesca de São Paulo e devem ser referenciados como provenientes do Programa de Monitoramento da Atividade Pesqueira Marinha e Estuarina do Instituto de Pesca na seguinte forma: IP/APTA/SAA/SP. Estatística Pesqueira Marinha e Estuarina do Estado de São Paulo. Consulta On-line. Programa de Monitoramento da Atividade Pesqueira Marinha e Estuarina do Estado de São Paulo. Instituto de Pesca (IP), Agência Paulista de Tecnologia dos Agronegócios (APTA), Secretaria de Agricultura e Abastecimento do Estado de São Paulo (SAA/SP). Disponível em: http://www.propesq.pesca.sp.gov.br/. Acesso em: “completar com a data (Dia-Mês-Ano) de acesso”.",Biológica,"Agrupadores, Ano, Mês, Município, Aparelho de Pesca, Nível Taxonômico, Pescado, Tipo de Pesca, Variáveis, kg no Período, nº de descargas do período, nº de Unidades Produtivas, valor estimado no período",Pesca SP,Nacional,Sao Paulo,Brasil,http://www.propesq.pesca.sp.gov.br/,,,,
R2R,Rolling Deck to Repository,Agregador e Provedor,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa","Programa que gere dados de sensores embarcados em navios de investigação (sensores oceânicos, meteorológicos, geofísicos) para arquivamento e divulgação aberta. ","Física, Geológica, Química, Biológica",Meteo-Oceanográfico,FSU,Global,,USA,https://www.rvdata.us/,,,,
RAM Legacy,Ram Legacy Stock Assessment Database,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados, Analítico, Modelos, Ferramenta",Portal Web,"Banco de dados global de avaliações de estoques pesqueiros, com informações sobre abundância, mortalidade e exploração de diversas espécies comerciais.",Biológica,"Dados de avaliações de estoque, capturas, mortalidade e esforço de pesca",RAM Legacy,Global,,USA,https://www.ramlegacy.org,,,,
Rede Amazônia Azul,Rede Amazônia Azul,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"Rede de dados ambientais da zonalíssima “Amazônia Azul” brasileira – inclui geofísica, socioeconomia, conservação. ","Biológica, Física","Dados geofísicos, socioeconômicos, recursos ambientais, zonas de proteção.",UNIVALI,Nacional,Margem Equatorial Brasileira,Brasil,http://libgeo.acad.univali.br/aazul,,,,
REMO,Rede de Modelagem e Observação Oceânica ,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados, Catálogo",Portal Web,"Modelos regionais de Correntes, ondas e TSM",Física,Meteo-Oceanográfico,"Unceme, UFRJ, USP, FURG",Nacional,,Brasil,https://www.rederemo.org/dados/,,,,
RENOMO,Rede Nacional de Observação e Monitoramento Oceanico,Agregador,Em desenvolvimento,Nao,Não,,Não,,"Repositório, Portal de Dados, Catálogo",Portal Web,"A ReNOMO é uma rede composta por distintos programas de observação dos oceanos no escopo do Atlântico Sul e Tropical,","Física, Geológica, Química, Biológica",Meteo-Oceanográfico,ReNOMO,AtlanticoSul,Atlantico Sul e Tropical,Brasil,https://renomo.org.br/renomo,,,,
Salve,Sistema de Avaliação do Risco de Extinção da Biodiversidade,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados, Catálogo","Portal Web, Visualização iterativa",Base consolidada pelo ICMBio para armazenamento de informações sobre espécies e processos de avaliação de risco de extinção.,Biológica,"Registros de espécies, status de ameaça, distribuição geográfica",ICMBio,Nacional,,Brasil,https://salve.icmbio.gov.br/#/,,,,
